state,parlimen,dun,code_state,code_parlimen,code_dun,code_state_dun,year,area_km2,population_total,nationality_citizen,nationality_non_citizen,sex_male,sex_female,ethnicity_proportion_bumi,ethnicity_proportion_chinese,ethnicity_proportion_indian,ethnicity_proportion_other,age_proportion_0_14,age_proportion_15_64,age_proportion_65_above,age_proportion_18_above,housing_total,household_total,household_size_avg,live_births,live_births_male,live_births_female,deaths,deaths_male,deaths_female,labour_participation_rate,labour_unemployment_rate,income_median,income_avg,expenditure_avg,gini,poverty_incidence,sme_small,sme_micro,sme_medium,businesses_agriculture,businesses_crops,businesses_livestock,businesses_fisheries,businesses_forestry,businesses_mining,businesses_manufacturing,businesses_construction,businesses_services,utilities_pipedwater_home,utilities_pipedwater_public,utilities_pipedwater_other,utilities_electricity_home,utilities_electricity_none,constituency_id
Sabah,P.179 Ranau,N.36 Kundasang,12,P.179,N.36,12_N.36,2020,"1,836",31177,28240,2937,16309,14868,98.8,0.8,0.0,0.5,25.0,68.6,6.4,68.0,6957,6372,4.9,514,266,248,153,90,63,76.5,11.1,2943,4408,2232,0.43,29.8,76.0,803,6.0,9,8,1,0,0,1,1,80,801,36.8,7.0,56.1,99.9,0.1,36
Sabah,P.179 Ranau,N.37 Karanaan,12,P.179,N.37,12_N.37,2020,185,21115,19043,2072,11005,10110,97.8,1.9,0.1,0.2,22.7,71.4,5.9,70.8,4317,3867,5.3,350,183,167,104,62,42,76.8,6.1,4484,5817,3141,0.369,14.6,86.0,621,2.0,3,2,0,0,1,1,15,65,636,61.3,0.0,38.7,100.0,0.0,37
Sabah,P.179 Ranau,N.38 Paginatan,12,P.179,N.38,12_N.38,2020,"1,870",33792,32462,1330,17345,16447,99.0,0.6,0.0,0.4,23.7,70.2,6.1,69.0,6860,6526,5.1,561,299,262,167,101,66,73.9,8.3,3027,4020,2377,0.365,33.6,25.0,362,2.0,1,1,0,0,0,0,1,71,324,18.7,1.7,79.6,100.0,0.0,38
Sabah,P.180 Keningau,N.39 Tambunan,12,P.180,N.39,12_N.39,2020,"1,414",32007,30653,1354,16272,15735,99.2,0.6,0.0,0.2,28.9,62.6,8.5,66.0,7465,7337,4.3,465,249,216,139,84,55,63.2,5.7,3581,4826,2842,0.37799999999999995,16.7,36.0,550,1.0,2,2,0,0,0,0,21,81,491,68.2,0.0,31.8,100.0,0.0,39
Sabah,P.180 Keningau,N.40 Bingkor,12,P.180,N.40,12_N.40,2020,397,38299,36733,1566,19512,18787,95.9,3.3,0.1,0.8,26.9,66.4,6.7,66.8,9142,8644,4.4,553,296,257,165,100,65,63.2,8.8,4529,5904,3138,0.386,15.7,204.0,1101,11.0,27,11,0,0,16,1,47,72,1207,83.3,7.7,9.0,100.0,0.0,40
Sabah,P.180 Keningau,N.41 Liawan,12,P.180,N.41,12_N.41,2020,420,59576,50168,9408,30611,28965,87.4,10.9,0.2,1.5,27.9,67.8,4.3,66.4,15608,14385,4.1,861,459,402,257,155,102,60.4,5.1,4184,5677,2643,0.37,12.7,289.0,1107,18.0,72,37,6,0,29,5,51,117,1190,78.3,3.0,18.7,100.0,0.0,41
Sabah,P.181 Tenom,N.42 Melalap,12,P.181,N.42,12_N.42,2020,638,25084,23777,1307,12998,12086,94.3,5.2,0.1,0.5,25.3,67.2,7.5,68.0,6540,5555,4.5,364,191,173,108,64,44,63.2,5.2,4285,5394,2867,0.361,9.2,100.0,632,5.0,5,3,1,1,0,1,35,107,603,65.4,0.0,34.6,100.0,0.0,42
Sabah,P.181 Tenom,N.43 Kemabong,12,P.181,N.43,12_N.43,2020,"1,819",25146,24249,897,12808,12338,97.7,1.8,0.0,0.5,25.9,67.1,7.0,65.5,5698,5117,4.9,374,200,174,112,68,44,60.0,6.9,3029,3791,2264,0.284,28.6,12.0,112,1.0,1,1,0,0,0,0,6,5,115,38.5,2.2,59.3,100.0,0.0,43
Sabah,P.182 Pensiangan,N.44 Tulid,12,P.182,N.44,12_N.44,2020,"1,250",19915,18907,1008,10377,9538,98.8,1.0,0.0,0.2,25.7,67.5,6.9,66.6,4362,4145,4.8,310,162,148,93,55,38,64.2,7.5,3636,4267,2601,0.34600000000000003,28.4,8.0,176,,2,1,1,0,0,0,1,9,174,57.4,12.7,29.8,100.0,0.0,44
Sabah,P.182 Pensiangan,N.45 Sook,12,P.182,N.45,12_N.45,2020,"1,533",33311,26996,6315,17552,15759,97.5,1.8,0.1,0.6,28.2,67.5,4.3,65.0,8175,7465,4.5,503,260,243,150,88,62,72.8,7.9,3732,4330,2112,0.264,25.0,41.0,228,2.0,17,14,1,0,2,0,9,17,230,57.2,26.8,16.1,100.0,0.0,45
Sabah,P.182 Pensiangan,N.46 Nabawan,12,P.182,N.46,12_N.46,2020,"6,114",29273,28088,1185,15547,13726,99.6,0.3,0.0,0.2,25.8,69.0,5.1,66.7,6220,5456,5.4,473,250,223,141,84,57,67.3,8.5,3692,4430,2530,0.298,36.6,26.0,147,2.0,4,3,0,0,1,0,6,45,121,46.5,2.8,50.7,99.9,0.1,46
Sabah,P.183 Beluran,N.47 Telupid,12,P.183,N.47,12_N.47,2020,"2,197",34181,21158,13023,18539,15642,96.5,0.7,0.4,2.3,27.1,70.5,2.4,68.4,10503,9061,3.8,486,244,242,143,82,61,75.5,8.9,3158,4643,1931,0.41600000000000004,39.8,49.0,469,6.0,12,11,0,0,1,0,6,48,468,50.0,0.0,50.0,98.9,1.1,47
Sabah,P.183 Beluran,N.48 Sugut,12,P.183,N.48,12_N.48,2020,"3,844",38436,17739,20697,21542,16894,97.8,0.6,0.1,1.5,27.2,69.8,3.0,68.5,12086,10000,3.7,538,264,274,159,89,70,71.5,6.8,2538,3352,1221,0.36700000000000005,49.2,25.0,135,2.0,12,12,0,0,0,0,3,13,143,18.6,18.6,62.7,91.7,8.3,48
Sabah,P.183 Beluran,N.49 Labuk,12,P.183,N.49,12_N.49,2020,"1,407",28449,20135,8314,14631,13818,98.5,0.5,0.1,0.9,31.9,64.8,3.3,63.1,7638,7153,4.0,417,222,195,124,75,49,72.1,9.5,3064,4383,1912,0.40700000000000003,41.7,39.0,331,,13,13,0,0,0,0,12,59,297,87.4,0.0,12.6,100.0,0.0,49
Sabah,P.184 Libaran,N.50 Gum-Gum,12,P.184,N.50,12_N.50,2020,777,72785,42289,30496,37636,35149,88.2,9.9,0.2,1.7,29.4,66.8,3.8,62.8,14905,13980,5.1,993,524,469,296,177,119,77.6,8.2,3753,5074,2508,0.382,25.7,411.0,1070,66.0,170,148,7,3,12,2,79,71,1288,87.7,0.0,12.3,100.0,0.0,50
Sabah,P.184 Libaran,N.51 Sungai Manila,12,P.184,N.51,12_N.51,2020,116,23016,16010,7006,11626,11390,88.6,8.7,0.1,2.6,25.7,69.1,5.2,67.2,4149,3954,5.8,333,180,153,100,61,39,73.1,6.3,4250,5223,2656,0.384,26.0,61.0,173,13.0,34,31,2,0,1,0,9,13,195,98.8,0.0,1.2,100.0,0.0,51
Sabah,P.184 Libaran,N.52 Sungai Sibuga,12,P.184,N.52,12_N.52,2020,37,75651,64529,11122,37953,37698,85.3,12.3,0.2,2.1,26.8,66.4,6.8,66.4,17396,15385,4.9,"1,081",586,495,324,198,126,71.6,8.5,5101,5976,3181,0.34299999999999997,16.1,147.0,675,19.0,39,28,2,2,7,0,17,70,727,98.1,0.0,1.9,99.6,0.4,52
Sabah,P.185 Batu Sapi,N.53 Sekong,12,P.185,N.53,12_N.53,2020,442,88546,64568,23978,46727,41819,71.9,26.2,0.2,1.7,23.9,70.4,5.7,69.6,16618,16216,5.4,"1,287",659,628,381,222,159,75.6,8.3,5805,7635,3839,0.38299999999999995,7.6,163.0,648,17.0,80,64,2,2,12,0,31,40,700,100.0,0.0,0.0,100.0,0.0,53
Sabah,P.185 Batu Sapi,N.54 Karamunting,12,P.185,N.54,12_N.54,2020,12,31152,20568,10584,15781,15371,88.3,9.2,0.6,1.9,22.4,71.0,6.6,70.0,5255,5057,6.1,463,251,212,139,85,54,70.4,5.8,3831,4641,2837,0.331,22.6,389.0,1459,65.0,132,97,3,12,20,4,59,123,1641,100.0,0.0,0.0,100.0,0.0,54
Sabah,P.186 Sandakan,N.55 Elopura,12,P.186,N.55,12_N.55,2020,19,101443,70246,31197,51951,49492,71.0,27.3,0.4,1.3,24.5,68.9,6.6,68.7,19464,18899,5.3,"1,425",758,667,425,256,169,73.7,8.4,5661,7451,4684,0.41100000000000003,14.2,585.0,1694,82.0,236,201,5,12,18,7,115,152,1911,98.9,0.5,0.5,100.0,0.0,55
Sabah,P.186 Sandakan,N.56 Tanjong Papat,12,P.186,N.56,12_N.56,2020,4,20229,11865,8364,10394,9835,85.5,11.7,0.2,2.7,23.7,69.5,6.8,69.5,3535,3688,5.5,299,160,139,89,54,35,77.8,6.3,3019,4082,2143,0.33,32.3,215.0,1547,20.0,45,32,0,9,4,3,36,22,1707,100.0,0.0,0.0,100.0,0.0,56
Sabah,P.187 Kinabatangan,N.57 Kuamut,12,P.187,N.57,12_N.57,2020,"10,954",46527,27041,19486,25350,21177,98.8,0.8,0.1,0.3,30.6,65.5,3.9,64.4,12275,11347,4.1,647,321,326,191,108,83,66.5,11.7,2197,3364,2000,0.386,56.6,12.0,116,1.0,6,6,0,0,0,0,1,5,121,33.6,0.0,66.4,91.0,9.0,57
Sabah,P.187 Kinabatangan,N.58 Lamag,12,P.187,N.58,12_N.58,2020,"2,142",56395,23426,32969,31278,25117,92.4,0.6,0.2,6.8,26.9,70.9,2.2,66.9,12539,11994,4.7,838,414,424,248,140,108,69.8,12.4,3535,4419,1789,0.368,41.2,45.0,345,9.0,20,19,0,0,1,0,9,17,364,88.8,0.0,11.2,100.0,0.0,58
Sabah,P.187 Kinabatangan,N.59 Sukau,12,P.187,N.59,12_N.59,2020,"4,972",113165,29126,84039,62261,50904,93.6,0.6,0.1,5.6,30.9,67.9,1.3,64.2,25557,25047,4.5,"1,582",781,801,466,263,203,68.3,7.6,4127,5342,1968,0.37200000000000005,24.8,59.0,358,12.0,31,31,0,0,0,0,16,14,384,64.2,0.0,35.8,100.0,0.0,59
Sabah,P.188 Lahad Datu,N.60 Tungku,12,P.188,N.60,12_N.60,2020,"3,297",79995,45370,34625,43316,36679,95.8,0.8,0.1,3.3,28.0,69.9,2.1,67.0,18147,17699,4.4,"1,115",559,556,330,189,141,74.7,8.7,4116,4911,2742,0.368,18.5,106.0,485,14.0,74,69,1,1,3,0,12,50,521,75.9,0.0,24.1,100.0,0.0,60
Sabah,P.188 Lahad Datu,N.61 Segama,12,P.188,N.61,12_N.61,2020,"1,144",105705,73560,32145,55966,49739,84.5,11.4,0.4,3.7,27.5,68.4,4.1,67.4,22507,22519,4.7,"1,474",759,715,437,256,181,69.3,9.5,4830,6598,3164,0.39399999999999996,17.3,489.0,1225,61.0,186,142,3,36,5,7,101,115,1442,83.5,0.0,16.5,99.8,0.2,61
Sabah,P.188 Lahad Datu,N.62 Silam,12,P.188,N.62,12_N.62,2020,"3,049",45375,27382,17993,23583,21792,93.2,5.0,0.2,1.6,27.8,68.4,3.9,67.3,9423,9475,4.8,628,330,298,186,111,75,73.4,9.1,3257,4468,2142,0.33899999999999997,25.0,511.0,1666,69.0,208,192,1,7,8,4,56,105,1949,52.3,0.0,47.7,100.0,0.0,62
Sabah,P.188 Lahad Datu,N.63 Kunak,12,P.188,N.63,12_N.63,2020,"1,104",68475,34207,34268,36978,31497,92.0,1.8,0.2,5.9,31.0,65.4,3.5,63.0,13283,11785,5.9,950,480,470,281,162,119,68.9,11.8,3830,5329,2461,0.385,23.8,118.0,904,7.0,24,18,0,5,1,0,13,46,961,96.1,0.6,3.2,100.0,0.0,63
Sabah,P.189 Semporna,N.64 Sulabayan,12,P.189,N.64,12_N.64,2020,234,33882,19390,14492,17670,16212,99.4,0.1,0.0,0.4,34.2,61.4,4.3,58.1,6032,5416,6.3,485,254,231,145,86,59,58.7,9.7,2101,2443,1612,0.276,69.8,22.0,78,1.0,2,2,0,0,0,0,1,4,94,72.1,2.3,25.6,97.7,2.3,64
Sabah,P.189 Semporna,N.65 Senallang,12,P.189,N.65,12_N.65,2020,299,57231,36903,20328,28893,28338,97.6,1.5,0.1,0.8,33.7,62.0,4.3,59.4,11258,10320,5.5,807,435,372,240,146,94,60.1,12.5,3679,6882,2629,0.515,20.9,172.0,1003,8.0,14,11,0,3,0,0,19,112,1049,97.8,0.9,1.3,100.0,0.0,65
Sabah,P.189 Semporna,N.66 Bugaya,12,P.189,N.66,12_N.66,2020,593,75474,46447,29027,38838,36636,97.7,0.9,0.1,1.3,34.2,61.6,4.1,58.6,14263,13306,5.7,"1,058",560,498,315,189,126,66.4,8.5,4106,5950,2821,0.40700000000000003,31.6,49.0,211,,9,4,0,5,0,0,5,20,230,87.5,0.5,12.0,100.0,0.0,66
Sabah,P.190 Tawau,N.67 Balung,12,P.190,N.67,12_N.67,2020,943,70671,46367,24304,37253,33418,89.0,6.3,0.2,4.5,27.9,67.9,4.2,66.6,15663,14983,4.7,"1,042",532,510,308,179,129,75.7,7.7,4640,5756,2596,0.327,15.0,89.0,327,11.0,26,18,2,3,3,2,24,17,368,98.4,0.5,1.1,100.0,0.0,67
Sabah,P.190 Tawau,N.68 Apas,12,P.190,N.68,12_N.68,2020,370,98982,60161,38821,52189,46793,89.5,5.9,0.2,4.5,28.6,67.4,4.0,65.8,18814,18304,5.4,"1,380",717,663,410,242,168,74.3,7.3,3209,4234,2003,0.33,30.0,243.0,683,24.0,82,51,10,12,9,2,69,61,755,97.0,0.6,2.4,100.0,0.0,68
Sabah,P.190 Tawau,N.69 Sri Tanjong,12,P.190,N.69,12_N.69,2020,19,60878,48919,11959,31236,29642,53.3,41.4,0.4,4.9,26.6,66.5,6.9,67.7,13130,12407,4.9,884,468,416,264,158,106,75.7,5.8,5518,7425,3092,0.4,4.3,1211.0,3975,126.0,490,393,11,43,43,8,141,403,4384,100.0,0.0,0.0,100.0,0.0,69
Sabah,P.191 Kalabakan,N.70 Kukusan,12,P.191,N.70,12_N.70,2020,8,29893,25037,4856,15209,14684,78.0,17.9,0.5,3.7,25.6,67.7,6.7,68.5,6352,6047,4.9,465,235,230,137,79,58,68.4,12.4,7596,9007,4220,0.397,10.5,85.0,276,6.0,13,12,0,1,0,1,11,22,325,99.5,0.5,0.0,100.0,0.0,70
Sabah,P.191 Kalabakan,N.71 Tanjung Batu,12,P.191,N.71,12_N.71,2020,11,41931,33667,8264,21074,20857,96.0,2.1,0.1,1.8,26.1,67.1,6.8,67.8,8235,7963,5.2,589,319,270,176,108,68,65.6,12.7,4225,5722,2302,0.34600000000000003,18.8,32.0,302,2.0,12,10,0,0,2,0,14,7,317,99.5,0.5,0.0,98.8,1.2,71
Sabah,P.191 Kalabakan,N.72 Merotai,12,P.191,N.72,12_N.72,2020,902,64425,44746,19679,34225,30200,85.1,11.5,0.2,3.1,27.4,67.5,5.1,67.1,14905,13601,4.6,908,467,441,269,157,112,66.1,8.6,4262,6003,2750,0.359,9.0,390.0,1570,48.0,102,81,2,5,14,2,48,159,1733,99.5,0.5,0.0,100.0,0.0,72
Sabah,P.191 Kalabakan,N.73 Sebatik,12,P.191,N.73,12_N.73,2020,"3,630",52407,21588,30819,28756,23651,98.1,0.4,0.0,1.5,27.6,69.5,2.9,67.7,13755,12691,4.2,715,354,361,210,119,91,72.0,8.3,3310,4031,2080,0.294,26.6,13.0,176,1.0,8,7,0,1,0,0,5,6,175,92.7,2.0,5.3,100.0,0.0,73
